,EMBED_OUTPUT_DIM,USE_SPATIAL_DROPOUT,SPATIAL_DROPOUT,RNN_TYPE,RNN_LAYER_COUNT,RNN_OUT,RNN_DROPOUT,RECURRENT_DROPOUT,BATCH_SIZE,LEARNING_RATE,EPOCH,DATA_SIZE,METRIC,loss,mae,acc,fit_time,model_uuid,timestamp,bayes_metric
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,10,stars,0.721243382,0.84540081,0,3.387953043,bf15a8b6a0c0450a863b2f1f82326442,2019-08-04T18:50:48.380006,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,10,funny,0.244579986,0.251764297,0.75,4.916007757,1f8e1d4f45584d1d910a60cc69f52738,2019-08-04T18:52:50.451417,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,10,stars,0.716830432,0.842311203,0,2.495458126,78f484ee4d2c4a77ad5a69f869b994c5,2019-08-04T18:57:40.04890,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,10,funny,0.252795875,0.257108092,0.75,2.197672844,8b7df2a4fc61441e85c5250d980ff84d,2019-08-04T18:57:43.253233,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,10,useful,0.060878936,0.127660394,0.75,2.208097935,7122fa6fae07475091af0d24dabf7ed2,2019-08-04T18:57:46.759821,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,10,cool,3.14E-05,0.005230211,1,2.404312134,e1c70bf6832e4d4ab746dcf0f6a4cf17,2019-08-04T18:57:50.598808,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,100,stars,0.624563098,0.73006916,0,3.631456137,6f38a448e46d42ba8e2e887ce2d794b9,2019-08-04T18:57:56.377800,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,100,funny,0.001202333,0.014967741,0.909090936,3.687633991,0fe70f36fbf5444d80bd5c767adf184e,2019-08-04T18:58:02.436793,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,100,useful,0.005694744,0.041861754,0.515151501,3.819718361,02dc35e9edae4213b74ce032c92477a1,2019-08-04T18:58:08.954644,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,100,cool,0.001019628,0.019811448,0.666666687,4.010798693,450bbf84400d4ac7abbfdb03b08a6e8e,2019-08-04T18:58:15.599860,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,2,10,stars,0.730749607,0.850485981,0,3.559773445,b425e8342faf49c6be22eb61513278b0,2019-08-04T18:58:21.857148,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,2,10,funny,0.237611562,0.253347278,0.75,3.671798944,cf272a338e2c4a8a9d23ea77e847fc8a,2019-08-04T18:58:28.103526,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,2,10,useful,0.058286205,0.13034673,0.75,4.110227585,c2c545237cd94a3a8396a76ab7281255,2019-08-04T18:58:35.150411,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,2,10,cool,0.000409372,0.014924787,1,3.973068714,92bca596fad949f487a7101a83ba78a0,2019-08-04T18:58:42.245169,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,2,100,stars,0.611437857,0.721673787,0,6.289592981,a7be3c37e8b44fd2ad7d14a49f0948a0,2019-08-04T18:58:52.389476,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,2,100,funny,0.001252285,0.016767407,0.909090936,6.744717836,20dda8871ac44728b9a0518fc3bccfe4,2019-08-04T18:59:03.114876,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,2,100,useful,0.005270765,0.040273841,0.515151501,6.559545994,2feb8d45cbc94aa8b45beee0fc10e749,2019-08-04T18:59:13.879663,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,2,100,cool,0.000932396,0.020381551,0.666666687,6.767014027,23650e0e181649bb97b1d301cb703efa,2019-08-04T18:59:25.066922,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.001,1,10,stars,0.723553538,0.845831871,0,4.31308651,ce5a472e70244b369820ff50ddab01fd,2019-08-04T18:59:33.913238,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.001,1,10,funny,0.248731792,0.254268706,0.75,4.548924923,7c8bb522ed3940af8a332be9b3cda70c,2019-08-04T18:59:42.776138,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.001,1,10,useful,0.059914701,0.129103616,0.75,4.605318308,858fd0fdfa2f43e585d3505ba91d763a,2019-08-04T18:59:51.860837,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.001,1,10,cool,2.66E-05,0.004446137,1,4.754765511,b90f3d2a22ad4ee293423641b8839a68,2019-08-04T19:00:01.352474,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.001,1,100,stars,0.617768586,0.72605449,0,6.065322161,496a92f49a5a4ba1a7433da3cc4c344d,2019-08-04T19:00:12.705296,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.001,1,100,funny,0.001189967,0.016134903,0.909090936,6.655880451,6b426a741d01439898673521a6a746ee,2019-08-04T19:00:24.809023,-1
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,10,stars,0.221360385,0.463555574,0,3.35104847,305c474e443a47aa9190b3257ae87fd6,2019-08-04T20:59:30.247262,149.4910089
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,10,stars,0.010782268,0.08005783,0.25,3.351806402,a8296df527c04895bf75d2ce43055874,2019-08-04T21:04:12.867440,149.8268384
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,10,funny,0.368354827,0.576790869,0.25,3.215390205,1fc651b7a42b4d3898c657f3b4f6a1f3,2019-08-04T21:04:22.055865,149.647366
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,10,useful,0.540687561,0.698272288,0,3.239903927,896fd9125fd04a9f81794086d4abf0af,2019-08-04T21:04:28.005363,149.3802841
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,10,cool,0.209569797,0.457558453,1,3.484470844,79fd08fedf764257b17426a173758b52,2019-08-04T21:04:34.109685,150.2121002
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,100,stars,0.102407463,0.279097855,0.454545468,4.790448427,1225e4bdb90f406aa345ad38ae1ce0d7,2019-08-04T21:04:42.407561,149.5479207
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,100,funny,0.077392243,0.273892075,0.909090936,4.687157631,e75a042be7e743c0a0cdc416c0315208,2019-08-04T21:04:50.678185,149.9222077
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,100,useful,0.22143352,0.463011503,0.272727281,5.038024426,448d8c5c93194530af45b47d41af8dba,2019-08-04T21:04:59.773177,149.2739281
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,100,cool,0.064101025,0.251228809,0.666666687,5.044273853,787464ba24534957a64421c87a935dc8,2019-08-04T21:05:08.903803,149.6600991
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,1000,stars,0.103808554,0.290430272,0.448484849,15.43124676,ec1110b07f0f4fc991b31990e4d8617c,2019-08-04T21:05:32.768751,146.87999220
0,8,False,0.06852195003967596,GRU,1,140,0.11403503992420576,0.0614658697546314,109,0.07346326981947482,4,10000,stars,,,0.0,464.3914816379547,42e568301c0b4a7e96b47188ffee05b3,2019-08-04T22:51:45.904441,
0,8,False,0.07,GRU,1,140,0.11,0.06,109,0.07,4,10000,stars,,,0.0,469.5594434738159,b59fee58f5334820b68f7be7ffee83aa,2019-08-04T23:38:03.426783,
0,8,False,0.07,GRU,1,140,0.11,0.06,109,0.07,4,10000,funny,,,0.0,468.0781261920929,62a7b63b1a744419a99287e5ce10e99c,2019-08-04T23:56:19.517189,
0,346,True,0.09,LSTM,2,83,0.26,0.07,225,0.28,4,10000,funny,,,0.0,735.2069528102875,72fafe19b7d3410188e5a6987dc55726,2019-08-05T00:11:36.586643,
0,8,False,0.07,GRU,1,140,0.11,0.06,109,0.07,4,172032,funny,,,0.0,287.43970584869385,2ff141c69f6d4e9aaa7b4851c5b04c14,2019-08-05T00:49:50.918279,
0,346,True,0.09,LSTM,2,83,0.26,0.07,225,0.28,4,102739,funny,0.04385117442812334,0.1941327392049448,0.0,522.5752775669098,3c422470a97040a689063e9d957eaed2,2019-08-05T01:00:44.101295,19.796684629864284
0,8,False,0.07,GRU,1,140,0.11,0.06,109,0.07,4,172032,funny,,,0.0,309.1365511417389,bfe0ded485ed4927bbc827f4d0bdaa21,2019-08-05T01:56:09.595530,
